TimeSeries ID,container/gpu/utilizations.cloud_run_revision.ALIGN_SUM.REDUCE_PERCENTILE_50.metric.type="run.googleapis.com/container/gpu/utilizations" resource.type="cloud_run_revision" AND resource.labels."location"="us-central1" AND resource.labels."project_id"="llm-workload-characterization" AND resource.labels."service_name"="ollama-gemma".project_id:llm-workload-characterization.container_name:ollama-gemma-1.gpu_number:0
Fri May 23 2025 16:06:00 GMT+0300 (GMT+03:00),0.735
Fri May 23 2025 16:07:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 16:08:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:09:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:10:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:11:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:12:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:13:00 GMT+0300 (GMT+03:00),0.625
Fri May 23 2025 16:14:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 16:15:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:16:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 16:17:00 GMT+0300 (GMT+03:00),0.7725
Fri May 23 2025 16:18:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 16:19:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 16:20:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 16:21:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 16:22:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:23:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 16:24:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 16:25:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 16:26:00 GMT+0300 (GMT+03:00),0.7525
Fri May 23 2025 16:27:00 GMT+0300 (GMT+03:00),0.7775000000000001
Fri May 23 2025 16:28:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:29:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 16:30:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 16:31:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:32:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 16:33:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 16:34:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:35:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 16:36:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:37:00 GMT+0300 (GMT+03:00),0.7875000000000001
Fri May 23 2025 16:38:00 GMT+0300 (GMT+03:00),0.7525
Fri May 23 2025 16:39:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 16:40:00 GMT+0300 (GMT+03:00),0.7525
Fri May 23 2025 16:41:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 16:42:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 16:43:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 16:44:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 16:45:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 16:46:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 16:47:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:48:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 16:49:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:50:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:51:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:52:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 16:53:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 16:54:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:55:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 16:56:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 16:57:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 16:58:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 16:59:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:00:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:01:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:02:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 17:03:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 17:04:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:05:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:06:00 GMT+0300 (GMT+03:00),0.735
Fri May 23 2025 17:07:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:08:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:09:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:10:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:11:00 GMT+0300 (GMT+03:00),0.7925
Fri May 23 2025 17:12:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 17:13:00 GMT+0300 (GMT+03:00),0.7975000000000001
Fri May 23 2025 17:14:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 17:15:00 GMT+0300 (GMT+03:00),0.6950000000000001
Fri May 23 2025 17:16:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:17:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:18:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:19:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 17:20:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:21:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:22:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 17:23:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:24:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 17:25:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:26:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:27:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:28:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 17:29:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 17:30:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 17:31:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 17:32:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 17:33:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 17:34:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 17:35:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:36:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:37:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:38:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 17:39:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 17:40:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:41:00 GMT+0300 (GMT+03:00),0.8025
Fri May 23 2025 17:42:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 17:43:00 GMT+0300 (GMT+03:00),0.725
Fri May 23 2025 17:44:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:45:00 GMT+0300 (GMT+03:00),0.735
Fri May 23 2025 17:46:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:47:00 GMT+0300 (GMT+03:00),0.7825
Fri May 23 2025 17:48:00 GMT+0300 (GMT+03:00),0.715
Fri May 23 2025 17:49:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:50:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 17:51:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:52:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:53:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 17:54:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:55:00 GMT+0300 (GMT+03:00),0.7575000000000001
Fri May 23 2025 17:56:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 17:57:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 17:58:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 17:59:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:00:00 GMT+0300 (GMT+03:00),0.7875000000000001
Fri May 23 2025 18:01:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:02:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:03:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:04:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:05:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:06:00 GMT+0300 (GMT+03:00),0.7775000000000001
Fri May 23 2025 18:07:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:08:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 18:09:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:10:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:11:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:12:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:13:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 18:14:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:15:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:16:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:17:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:18:00 GMT+0300 (GMT+03:00),0.735
Fri May 23 2025 18:19:00 GMT+0300 (GMT+03:00),0.7775000000000001
Fri May 23 2025 18:20:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:21:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:22:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 18:23:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:24:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 18:25:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:26:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:27:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:28:00 GMT+0300 (GMT+03:00),0.7625
Fri May 23 2025 18:29:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:30:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:31:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 18:32:00 GMT+0300 (GMT+03:00),0.7575000000000001
Fri May 23 2025 18:33:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:34:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:35:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:36:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 18:37:00 GMT+0300 (GMT+03:00),0.7525
Fri May 23 2025 18:38:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:39:00 GMT+0300 (GMT+03:00),0.7925
Fri May 23 2025 18:40:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:41:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:42:00 GMT+0300 (GMT+03:00),0.7925
Fri May 23 2025 18:43:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:44:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 18:45:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:46:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 18:47:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:48:00 GMT+0300 (GMT+03:00),0.835
Fri May 23 2025 18:49:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:50:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:51:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:52:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:53:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 18:54:00 GMT+0300 (GMT+03:00),0.8025
Fri May 23 2025 18:55:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 18:56:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:57:00 GMT+0300 (GMT+03:00),0.7775000000000001
Fri May 23 2025 18:58:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 18:59:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:00:00 GMT+0300 (GMT+03:00),0.7475
Fri May 23 2025 19:01:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 19:02:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 19:03:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 19:04:00 GMT+0300 (GMT+03:00),0.795
Fri May 23 2025 19:05:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 19:06:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:07:00 GMT+0300 (GMT+03:00),0.785
Fri May 23 2025 19:08:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:09:00 GMT+0300 (GMT+03:00),0.775
Fri May 23 2025 19:10:00 GMT+0300 (GMT+03:00),0.7675000000000001
Fri May 23 2025 19:11:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 19:12:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:13:00 GMT+0300 (GMT+03:00),0.805
Fri May 23 2025 19:14:00 GMT+0300 (GMT+03:00),0.805
Fri May 23 2025 19:15:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 19:16:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:17:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 19:18:00 GMT+0300 (GMT+03:00),0.745
Fri May 23 2025 19:19:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:20:00 GMT+0300 (GMT+03:00),0.8150000000000001
Fri May 23 2025 19:21:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:22:00 GMT+0300 (GMT+03:00),0.755
Fri May 23 2025 19:23:00 GMT+0300 (GMT+03:00),0.7575000000000001
Fri May 23 2025 19:24:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:25:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:26:00 GMT+0300 (GMT+03:00),0.765
Fri May 23 2025 19:27:00 GMT+0300 (GMT+03:00),0.8150000000000001
Fri May 23 2025 19:28:00 GMT+0300 (GMT+03:00),0.0075
Fri May 23 2025 19:29:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 19:30:00 GMT+0300 (GMT+03:00),0.005
Fri May 23 2025 19:31:00 GMT+0300 (GMT+03:00),0.005